slug,status
molly-tea-san-gabriel,seed
monkey-tea-huntington-beach,closed
mr-boba-los-angeles,open
neighbors-tea-house-rosemead,open
nest-tea-house-arcadia,open
o-tea-time-riverside,closed
oh-my-pan-bakery-and-tea-san-gabriel,open
oku-1-diamond-bar,closed
omg-dessert-lounge-anaheim,open
one-zo-boba-irvine,seed
oo-tea-san-diego,open
paradise-bowls-irvine,seed
pearls-finest-teas-hollywood,closed
pearls-finest-teas-los-angeles,closed
pick-me-up-teahouse-garden-grove,closed
pink-boba-fullerton,open
quickly-arcadia,temporarily_closed
quickly-fullerton,open
quickly-irvine,open
quickly-los-angeles,open
quickly-monterey-park,open
quickly-rosemead,open
quickly-rowland-heights,open
quickly-san-gabriel,open
quickly-temple-city,open
rendezvous-cafe-temple-city,closed
roasting-water-garden-grove,open
roasting-water-long-beach,open
roasting-water-westminster,open
sd-boba-tea-san-diego,open
serenitea-san-diego,temporarily_closed
share-tea-cerritos,open
share-tea-fullerton,open
share-tea-san-diego,open
share-tea-san-gabriel,open
sharetea-santa-ana,open
shaved-n-boba-irvine,closed
snoice-san-diego,open
snow-and-crab-temecula,open
snow-house-tea-bar-san-gabriel,closed
snow-monster-huntington-beach,open
snow-monster-irvine,closed
snow-monster-long-beach,open
snow-monster-westminster,closed
somisomi-brea,seed
spiceology-arcadia,open
square-bar-cafe-san-diego,open
sunright-tea-studio-irvine,seed
sweet-boba-santa-ana,closed
sweetea-cafe-costa-mesa,open
t-cup-coffee-and-tea-fountain-valley,closed
t-pumps-pasadena,open
t-tea-shoppe-los-angeles,closed
t4u-cafe-san-gabriel,open
tapioca-express-arcadia,open
tapioca-express-cerritos,open
tapioca-express-costa-mesa,closed
tapioca-express-covina,open
tapioca-express-irvine,open
tapioca-express-san-diego,open
tapioca-express-san-gabriel,open
tapioca-express-santa-ana,closed
tapioca-express-westminster,open
tapioca-heaven-san-diego,closed
taro-yuan-city-of-industry,open
tastea-costa-mesa,open
tastea-garden-grove,open
